trade_dt,s_info_windcode,trade_dt,s_dq_close
20041231,CI005917.WI,20041231,1000.0
20050104,CI005917.WI,20050104,988.8985
20050105,CI005917.WI,20050105,998.9002
20050106,CI005917.WI,20050106,994.0877
20050107,CI005917.WI,20050107,1003.4847
20050110,CI005917.WI,20050110,1020.3072
20050111,CI005917.WI,20050111,1024.982
20050112,CI005917.WI,20050112,1020.9318
20050113,CI005917.WI,20050113,1024.2624
20050114,CI005917.WI,20050114,1010.6884
20050117,CI005917.WI,20050117,991.3144
20050118,CI005917.WI,20050118,1001.2619
20050119,CI005917.WI,20050119,992.0194
20050120,CI005917.WI,20050120,983.1471
20050121,CI005917.WI,20050121,1024.8738
20050124,CI005917.WI,20050124,1044.0486
20050125,CI005917.WI,20050125,1036.165
20050126,CI005917.WI,20050126,1030.9033
20050127,CI005917.WI,20050127,1017.772
20050128,CI005917.WI,20050128,1006.7633
20050131,CI005917.WI,20050131,989.1975
20050201,CI005917.WI,20050201,990.5592
20050202,CI005917.WI,20050202,1041.7076
20050203,CI005917.WI,20050203,1026.5313
20050204,CI005917.WI,20050204,1066.7566
20050216,CI005917.WI,20050216,1069.6261
20050217,CI005917.WI,20050217,1067.0918
20050218,CI005917.WI,20050218,1049.1853
20050221,CI005917.WI,20050221,1073.7542
20050222,CI005917.WI,20050222,1090.1289
20050223,CI005917.WI,20050223,1084.6007
20050224,CI005917.WI,20050224,1084.0504
20050225,CI005917.WI,20050225,1085.7935
20050228,CI005917.WI,20050228,1065.2667
20050301,CI005917.WI,20050301,1063.9153
20050302,CI005917.WI,20050302,1050.5665
20050303,CI005917.WI,20050303,1059.5485
20050304,CI005917.WI,20050304,1053.9607
20050307,CI005917.WI,20050307,1058.5804
20050308,CI005917.WI,20050308,1073.3439
20050309,CI005917.WI,20050309,1062.7229
20050310,CI005917.WI,20050310,1038.2067
20050311,CI005917.WI,20050311,1035.4705
20050314,CI005917.WI,20050314,1029.0933
20050315,CI005917.WI,20050315,1011.8897
20050316,CI005917.WI,20050316,1006.6803
20050317,CI005917.WI,20050317,989.6148
20050318,CI005917.WI,20050318,986.6329
20050321,CI005917.WI,20050321,986.959
20050322,CI005917.WI,20050322,958.5622
20050323,CI005917.WI,20050323,960.3418
20050324,CI005917.WI,20050324,969.4287
20050325,CI005917.WI,20050325,966.2787
20050328,CI005917.WI,20050328,957.919
20050329,CI005917.WI,20050329,954.3075
20050330,CI005917.WI,20050330,937.1791
20050331,CI005917.WI,20050331,947.7114
20050401,CI005917.WI,20050401,982.5759
