trade_dt,s_info_windcode,trade_dt,s_dq_close
20041231,CI005918.WI,20041231,1000.0
20050104,CI005918.WI,20050104,979.693
20050105,CI005918.WI,20050105,990.2441
20050106,CI005918.WI,20050106,977.6993
20050107,CI005918.WI,20050107,976.2354
20050110,CI005918.WI,20050110,983.4176
20050111,CI005918.WI,20050111,984.5225
20050112,CI005918.WI,20050112,986.7624
20050113,CI005918.WI,20050113,988.0379
20050114,CI005918.WI,20050114,978.028
20050117,CI005918.WI,20050117,956.9175
20050118,CI005918.WI,20050118,966.0336
20050119,CI005918.WI,20050119,959.5828
20050120,CI005918.WI,20050120,947.1115
20050121,CI005918.WI,20050121,971.1816
20050124,CI005918.WI,20050124,988.3428
20050125,CI005918.WI,20050125,987.2261
20050126,CI005918.WI,20050126,979.5208
20050127,CI005918.WI,20050127,963.8387
20050128,CI005918.WI,20050128,951.7003
20050131,CI005918.WI,20050131,931.6572
20050201,CI005918.WI,20050201,928.0875
20050202,CI005918.WI,20050202,979.5948
20050203,CI005918.WI,20050203,965.3885
20050204,CI005918.WI,20050204,985.3492
20050216,CI005918.WI,20050216,995.3075
20050217,CI005918.WI,20050217,994.0071
20050218,CI005918.WI,20050218,981.1327
20050221,CI005918.WI,20050221,1000.1234
20050222,CI005918.WI,20050222,1025.3225
20050223,CI005918.WI,20050223,1028.7204
20050224,CI005918.WI,20050224,1032.4701
20050225,CI005918.WI,20050225,1032.7746
20050228,CI005918.WI,20050228,1030.4543
20050301,CI005918.WI,20050301,1027.4405
20050302,CI005918.WI,20050302,1008.1766
20050303,CI005918.WI,20050303,1014.807
20050304,CI005918.WI,20050304,1006.8857
20050307,CI005918.WI,20050307,1012.3679
20050308,CI005918.WI,20050308,1033.4228
20050309,CI005918.WI,20050309,1035.4702
20050310,CI005918.WI,20050310,1008.3972
20050311,CI005918.WI,20050311,1011.1996
20050314,CI005918.WI,20050314,1014.4883
20050315,CI005918.WI,20050315,1000.221
20050316,CI005918.WI,20050316,990.1544
20050317,CI005918.WI,20050317,976.1525
20050318,CI005918.WI,20050318,959.3894
20050321,CI005918.WI,20050321,963.9951
20050322,CI005918.WI,20050322,943.8283
20050323,CI005918.WI,20050323,937.4947
20050324,CI005918.WI,20050324,944.4567
20050325,CI005918.WI,20050325,942.5592
20050328,CI005918.WI,20050328,939.3322
20050329,CI005918.WI,20050329,935.1284
