trade_dt,s_info_windcode,trade_dt,s_dq_close
20041231,CI005920.WI,20041231,1000.0
20050104,CI005920.WI,20050104,991.1185
20050105,CI005920.WI,20050105,1011.3248
20050106,CI005920.WI,20050106,1001.8621
20050107,CI005920.WI,20050107,1003.7723
20050110,CI005920.WI,20050110,1013.2039
20050111,CI005920.WI,20050111,1013.8069
20050112,CI005920.WI,20050112,1011.077
20050113,CI005920.WI,20050113,1016.0755
20050114,CI005920.WI,20050114,1002.412
20050117,CI005920.WI,20050117,982.9413
20050118,CI005920.WI,20050118,1000.3747
20050119,CI005920.WI,20050119,990.2242
20050120,CI005920.WI,20050120,977.6602
20050121,CI005920.WI,20050121,984.7374
20050124,CI005920.WI,20050124,1007.6214
20050125,CI005920.WI,20050125,1000.0806
20050126,CI005920.WI,20050126,984.3533
20050127,CI005920.WI,20050127,962.3354
20050128,CI005920.WI,20050128,950.1544
20050131,CI005920.WI,20050131,920.4079
20050201,CI005920.WI,20050201,912.7422
20050202,CI005920.WI,20050202,968.7585
20050203,CI005920.WI,20050203,947.7612
20050204,CI005920.WI,20050204,964.129
20050216,CI005920.WI,20050216,975.26
20050217,CI005920.WI,20050217,983.0856
20050218,CI005920.WI,20050218,966.4242
20050221,CI005920.WI,20050221,982.2832
20050222,CI005920.WI,20050222,1008.8083
20050223,CI005920.WI,20050223,1019.5524
20050224,CI005920.WI,20050224,1025.8796
20050225,CI005920.WI,20050225,1026.9047
20050228,CI005920.WI,20050228,1026.0728
20050301,CI005920.WI,20050301,1024.6691
20050302,CI005920.WI,20050302,1009.0253
20050303,CI005920.WI,20050303,1015.1405
20050304,CI005920.WI,20050304,1008.888
20050307,CI005920.WI,20050307,1013.2102
20050308,CI005920.WI,20050308,1036.0472
20050309,CI005920.WI,20050309,1041.3273
20050310,CI005920.WI,20050310,1013.8105
20050311,CI005920.WI,20050311,1022.9455
20050314,CI005920.WI,20050314,1016.5559
20050315,CI005920.WI,20050315,1001.2911
20050316,CI005920.WI,20050316,992.9617
20050317,CI005920.WI,20050317,982.0604
20050318,CI005920.WI,20050318,954.7924
20050321,CI005920.WI,20050321,953.7268
20050322,CI005920.WI,20050322,926.6446
20050323,CI005920.WI,20050323,923.2764
20050324,CI005920.WI,20050324,932.0639
20050325,CI005920.WI,20050325,929.7338
20050328,CI005920.WI,20050328,919.9204
20050329,CI005920.WI,20050329,909.6435
20050330,CI005920.WI,20050330,885.2175
20050331,CI005920.WI,20050331,893.8986
20050401,CI005920.WI,20050401,927.6066
20050404,CI005920.WI,20050404,905.5979
20050405,CI005920.WI,20050405,895.9736
20050406,CI005920.WI,20050406,904.7972
20050407,CI005920.WI,20050407,921.8038
20050408,CI005920.WI,20050408,939.7042
20050411,CI005920.WI,20050411,939.7497
20050412,CI005920.WI,20050412,914.6341
20050413,CI005920.WI,20050413,937.6046
20050414,CI005920.WI,20050414,917.8999
20050415,CI005920.WI,20050415,892.2651
20050418,CI005920.WI,20050418,877.7614
20050419,CI005920.WI,20050419,879.5231
20050420,CI005920.WI,20050420,853.263
20050421,CI005920.WI,20050421,834.4824
20050422,CI005920.WI,20050422,828.8197
20050425,CI005920.WI,20050425,815.1976
20050426,CI005920.WI,20050426,830.5319
20050427,CI005920.WI,20050427,811.0194
20050428,CI005920.WI,20050428,828.6271
20050429,CI005920.WI,20050429,808.9098
20050509,CI005920.WI,20050509,782.427
20050510,CI005920.WI,20050510,784.6871
20050511,CI005920.WI,20050511,782.1101
20050512,CI005920.WI,20050512,779.1441
20050513,CI005920.WI,20050513,789.1874
20050516,CI005920.WI,20050516,778.475
20050517,CI005920.WI,20050517,786.1451
20050518,CI005920.WI,20050518,792.5494
20050519,CI005920.WI,20050519,790.9716
