trade_dt,s_info_windcode,trade_dt,s_dq_close
20050404,CI005919.WI,20050404,949.4366
20050405,CI005919.WI,20050405,943.0335
20050406,CI005919.WI,20050406,955.204
20050407,CI005919.WI,20050407,970.3925
20050408,CI005919.WI,20050408,986.6146
20050411,CI005919.WI,20050411,983.1596
20050412,CI005919.WI,20050412,966.3005
20050413,CI005919.WI,20050413,990.5105
20050414,CI005919.WI,20050414,976.6897
20050415,CI005919.WI,20050415,959.639
20050418,CI005919.WI,20050418,945.3569
20050419,CI005919.WI,20050419,946.0048
20050420,CI005919.WI,20050420,934.155
20050421,CI005919.WI,20050421,921.7269
20050422,CI005919.WI,20050422,915.7714
20050425,CI005919.WI,20050425,909.6732
20050426,CI005919.WI,20050426,925.8968
20050427,CI005919.WI,20050427,915.4596
20050428,CI005919.WI,20050428,934.5205
20050429,CI005919.WI,20050429,924.4724
20050509,CI005919.WI,20050509,901.808
20050510,CI005919.WI,20050510,903.2363
20050511,CI005919.WI,20050511,895.6471
20050512,CI005919.WI,20050512,888.8379
20050513,CI005919.WI,20050513,893.1737
20050516,CI005919.WI,20050516,889.7558
20050517,CI005919.WI,20050517,900.2441
20050518,CI005919.WI,20050518,903.1578
20050519,CI005919.WI,20050519,903.7748
20050520,CI005919.WI,20050520,900.4335
20050523,CI005919.WI,20050523,876.8206
20050524,CI005919.WI,20050524,888.79
20050525,CI005919.WI,20050525,888.6568
20050526,CI005919.WI,20050526,875.0737
20050527,CI005919.WI,20050527,866.4927
20050530,CI005919.WI,20050530,874.1083
20050531,CI005919.WI,20050531,873.2999
20050601,CI005919.WI,20050601,858.7992
20050602,CI005919.WI,20050602,840.7436
20050603,CI005919.WI,20050603,838.7153
20050606,CI005919.WI,20050606,856.1231
20050607,CI005919.WI,20050607,858.391
20050608,CI005919.WI,20050608,923.437
20050609,CI005919.WI,20050609,926.6084
20050610,CI005919.WI,20050610,907.0408
20050613,CI005919.WI,20050613,910.6283
20050614,CI005919.WI,20050614,894.8176
20050615,CI005919.WI,20050615,874.7974
20050616,CI005919.WI,20050616,885.1532
20050617,CI005919.WI,20050617,883.6186
20050620,CI005919.WI,20050620,907.0574
20050621,CI005919.WI,20050621,899.2454
20050622,CI005919.WI,20050622,903.9965
20050623,CI005919.WI,20050623,895.5499
20050624,CI005919.WI,20050624,899.5869
20050627,CI005919.WI,20050627,920.7415
20050628,CI005919.WI,20050628,908.3778
20050629,CI005919.WI,20050629,903.729
20050630,CI005919.WI,20050630,883.7647
20050701,CI005919.WI,20050701,858.1979
20050704,CI005919.WI,20050704,850.7968
20050705,CI005919.WI,20050705,845.6613
20050706,CI005919.WI,20050706,840.9988
20050707,CI005919.WI,20050707,844.5887
20050708,CI005919.WI,20050708,827.7176
20050711,CI005919.WI,20050711,822.0912
20050712,CI005919.WI,20050712,847.1855
20050713,CI005919.WI,20050713,838.5855
20050714,CI005919.WI,20050714,839.5755
20050715,CI005919.WI,20050715,829.4335
20050718,CI005919.WI,20050718,813.2131
20050719,CI005919.WI,20050719,816.2824
20050720,CI005919.WI,20050720,821.8914
20050721,CI005919.WI,20050721,819.6846
20050722,CI005919.WI,20050722,836.1907
20050725,CI005919.WI,20050725,834.8803
20050726,CI005919.WI,20050726,851.0104
20050727,CI005919.WI,20050727,867.1666
20050728,CI005919.WI,20050728,865.5849
20050729,CI005919.WI,20050729,859.8368
20050801,CI005919.WI,20050801,866.2323
20050802,CI005919.WI,20050802,877.1602
20050803,CI005919.WI,20050803,884.0112
20050804,CI005919.WI,20050804,877.2002
20050805,CI005919.WI,20050805,896.5244
20050808,CI005919.WI,20050808,903.0627
20050809,CI005919.WI,20050809,910.9189
20050810,CI005919.WI,20050810,919.2725
20050811,CI005919.WI,20050811,930.7945
20050812,CI005919.WI,20050812,913.3585
20050815,CI005919.WI,20050815,933.6116
20050816,CI005919.WI,20050816,934.0287
20050817,CI005919.WI,20050817,948.7203
20050818,CI005919.WI,20050818,915.9356
20050819,CI005919.WI,20050819,913.6766
20050822,CI005919.WI,20050822,924.7207
20050823,CI005919.WI,20050823,914.7243
20050824,CI005919.WI,20050824,923.1974
20050825,CI005919.WI,20050825,929.4806
20050826,CI005919.WI,20050826,930.8545
20050829,CI005919.WI,20050829,923.1297
20050830,CI005919.WI,20050830,919.5275
20050831,CI005919.WI,20050831,937.2499
20050901,CI005919.WI,20050901,956.7334
20050902,CI005919.WI,20050902,961.1913
20050905,CI005919.WI,20050905,972.8342
20050906,CI005919.WI,20050906,950.1949
20050907,CI005919.WI,20050907,972.5423
20050908,CI005919.WI,20050908,973.3647
20050909,CI005919.WI,20050909,967.6065
20050912,CI005919.WI,20050912,971.6891
20050913,CI005919.WI,20050913,991.6212
20050914,CI005919.WI,20050914,998.7506
20050915,CI005919.WI,20050915,999.7165
20050916,CI005919.WI,20050916,998.9659
20050919,CI005919.WI,20050919,1008.1761
20050920,CI005919.WI,20050920,1000.3893
20050921,CI005919.WI,20050921,982.8345
20050922,CI005919.WI,20050922,957.0454
20050923,CI005919.WI,20050923,947.8456
20050926,CI005919.WI,20050926,952.4445
20050927,CI005919.WI,20050927,940.0918
20050928,CI005919.WI,20050928,936.8396
20050929,CI005919.WI,20050929,951.8295
