trade_dt,s_info_windcode,trade_dt,s_dq_close
20021231,399370.SZ,20021231,1000.0
20030102,399370.SZ,20030102,970.1627
20030103,399370.SZ,20030103,968.0456
20030106,399370.SZ,20030106,978.3179
20030107,399370.SZ,20030107,976.7185
20030108,399370.SZ,20030108,1003.0653
20030109,399370.SZ,20030109,1020.8049
20030110,399370.SZ,20030110,1012.4812
20030113,399370.SZ,20030113,1015.5928
20030114,399370.SZ,20030114,1069.186
20030115,399370.SZ,20030115,1066.0114
20030116,399370.SZ,20030116,1085.5431
20030117,399370.SZ,20030117,1078.7583
20030120,399370.SZ,20030120,1080.5717
20030121,399370.SZ,20030121,1059.5077
20030122,399370.SZ,20030122,1061.8692
20030123,399370.SZ,20030123,1054.0118
20030124,399370.SZ,20030124,1071.841
20030127,399370.SZ,20030127,1086.2076
20030128,399370.SZ,20030128,1090.5447
20030129,399370.SZ,20030129,1092.014
20030210,399370.SZ,20030210,1075.7796
20030211,399370.SZ,20030211,1085.0477
20030212,399370.SZ,20030212,1097.4334
20030213,399370.SZ,20030213,1092.5974
20030214,399370.SZ,20030214,1098.1066
20030217,399370.SZ,20030217,1089.9895
20030218,399370.SZ,20030218,1089.1862
20030219,399370.SZ,20030219,1098.7368
20030220,399370.SZ,20030220,1097.6385
20030221,399370.SZ,20030221,1075.0937
20030224,399370.SZ,20030224,1076.5357
20030225,399370.SZ,20030225,1097.4371
20030226,399370.SZ,20030226,1098.1923
20030227,399370.SZ,20030227,1099.7158
20030228,399370.SZ,20030228,1099.7007
20030303,399370.SZ,20030303,1108.1909
20030304,399370.SZ,20030304,1107.9896
20030305,399370.SZ,20030305,1104.3341
20030306,399370.SZ,20030306,1088.422
20030307,399370.SZ,20030307,1084.4978
20030310,399370.SZ,20030310,1064.537
20030311,399370.SZ,20030311,1064.1458
20030312,399370.SZ,20030312,1069.3863
20030313,399370.SZ,20030313,1062.2386
20030314,399370.SZ,20030314,1063.7672
20030317,399370.SZ,20030317,1063.6941
20030318,399370.SZ,20030318,1057.6185
20030319,399370.SZ,20030319,1062.6689
20030320,399370.SZ,20030320,1058.9801
20030321,399370.SZ,20030321,1070.4564
20030324,399370.SZ,20030324,1072.66
20030325,399370.SZ,20030325,1061.3199
20030326,399370.SZ,20030326,1057.3063
20030327,399370.SZ,20030327,1084.8374
20030328,399370.SZ,20030328,1082.2275
20030331,399370.SZ,20030331,1094.8954
20030401,399370.SZ,20030401,1102.0483
20030402,399370.SZ,20030402,1102.2101
20030403,399370.SZ,20030403,1096.9986
20030404,399370.SZ,20030404,1103.5572
20030407,399370.SZ,20030407,1095.9356
20030408,399370.SZ,20030408,1096.201
20030409,399370.SZ,20030409,1111.0711
20030410,399370.SZ,20030410,1121.0934
20030411,399370.SZ,20030411,1137.6356
20030414,399370.SZ,20030414,1167.1122
20030415,399370.SZ,20030415,1183.1515
20030416,399370.SZ,20030416,1175.6768
20030417,399370.SZ,20030417,1179.3062
20030418,399370.SZ,20030418,1168.96
20030421,399370.SZ,20030421,1147.2533
20030422,399370.SZ,20030422,1146.4194
20030423,399370.SZ,20030423,1126.8961
20030424,399370.SZ,20030424,1095.2056
20030425,399370.SZ,20030425,1086.6929
20030428,399370.SZ,20030428,1127.5692
20030429,399370.SZ,20030429,1108.8971
20030430,399370.SZ,20030430,1113.7754
20030512,399370.SZ,20030512,1118.9035
20030513,399370.SZ,20030513,1082.0544
20030514,399370.SZ,20030514,1105.1808
20030515,399370.SZ,20030515,1134.5984
20030516,399370.SZ,20030516,1135.912
20030519,399370.SZ,20030519,1140.0899
20030520,399370.SZ,20030520,1126.7762
20030521,399370.SZ,20030521,1128.0852
20030522,399370.SZ,20030522,1136.0878
20030523,399370.SZ,20030523,1146.6972
20030526,399370.SZ,20030526,1151.1936
20030527,399370.SZ,20030527,1152.4098
20030528,399370.SZ,20030528,1139.2923
20030529,399370.SZ,20030529,1152.2571
20030530,399370.SZ,20030530,1159.5496
20030602,399370.SZ,20030602,1159.5646
20030603,399370.SZ,20030603,1146.1012
20030604,399370.SZ,20030604,1153.6594
20030605,399370.SZ,20030605,1140.3913
20030606,399370.SZ,20030606,1126.3097
20030609,399370.SZ,20030609,1114.7565
20030610,399370.SZ,20030610,1120.6795
20030611,399370.SZ,20030611,1140.8727
20030612,399370.SZ,20030612,1137.5238
20030613,399370.SZ,20030613,1141.4639
20030616,399370.SZ,20030616,1134.1533
20030617,399370.SZ,20030617,1130.919
20030618,399370.SZ,20030618,1128.6863
20030619,399370.SZ,20030619,1117.8102
20030620,399370.SZ,20030620,1109.9608
20030623,399370.SZ,20030623,1099.4987
20030624,399370.SZ,20030624,1101.928
20030625,399370.SZ,20030625,1092.6072
20030626,399370.SZ,20030626,1101.9351
20030627,399370.SZ,20030627,1086.8171
20030630,399370.SZ,20030630,1081.8092
20030701,399370.SZ,20030701,1080.7289
20030702,399370.SZ,20030702,1091.5569
20030703,399370.SZ,20030703,1094.6163
20030704,399370.SZ,20030704,1095.5412
20030707,399370.SZ,20030707,1097.2621
20030708,399370.SZ,20030708,1103.2163
20030709,399370.SZ,20030709,1097.1974
20030710,399370.SZ,20030710,1118.1611
20030711,399370.SZ,20030711,1116.8638
20030714,399370.SZ,20030714,1112.42
20030715,399370.SZ,20030715,1115.5084
20030716,399370.SZ,20030716,1119.3018
20030717,399370.SZ,20030717,1125.6252
20030718,399370.SZ,20030718,1104.3985
20030721,399370.SZ,20030721,1096.2874
20030722,399370.SZ,20030722,1098.4853
20030723,399370.SZ,20030723,1102.2934
20030724,399370.SZ,20030724,1095.3837
20030725,399370.SZ,20030725,1086.0062
20030728,399370.SZ,20030728,1081.3703
20030729,399370.SZ,20030729,1086.6335
20030730,399370.SZ,20030730,1088.5539
20030731,399370.SZ,20030731,1088.4697
20030801,399370.SZ,20030801,1090.0021
20030804,399370.SZ,20030804,1101.5865
20030805,399370.SZ,20030805,1100.6368
20030806,399370.SZ,20030806,1095.317
20030807,399370.SZ,20030807,1095.178
20030808,399370.SZ,20030808,1084.1053
20030811,399370.SZ,20030811,1085.7175
20030812,399370.SZ,20030812,1089.5576
20030813,399370.SZ,20030813,1079.7227
20030814,399370.SZ,20030814,1073.9113
20030815,399370.SZ,20030815,1071.2428
20030818,399370.SZ,20030818,1068.4077
20030819,399370.SZ,20030819,1071.1147
20030820,399370.SZ,20030820,1065.334
20030821,399370.SZ,20030821,1064.3359
20030822,399370.SZ,20030822,1061.9522
20030825,399370.SZ,20030825,1049.7248
20030826,399370.SZ,20030826,1051.0615
20030827,399370.SZ,20030827,1049.1548
20030828,399370.SZ,20030828,1042.6494
20030829,399370.SZ,20030829,1048.7684
20030901,399370.SZ,20030901,1066.6627
20030902,399370.SZ,20030902,1064.7373
20030903,399370.SZ,20030903,1064.5331
20030904,399370.SZ,20030904,1063.685
20030905,399370.SZ,20030905,1051.6694
20030908,399370.SZ,20030908,1047.0583
20030909,399370.SZ,20030909,1042.7209
20030910,399370.SZ,20030910,1045.2437
20030911,399370.SZ,20030911,1046.3901
20030912,399370.SZ,20030912,1034.5177
20030915,399370.SZ,20030915,1022.8706
20030916,399370.SZ,20030916,1028.3367
20030917,399370.SZ,20030917,1016.2988
20030918,399370.SZ,20030918,1016.2347
20030919,399370.SZ,20030919,1017.2047
20030922,399370.SZ,20030922,1009.9243
20030923,399370.SZ,20030923,1014.7491
20030924,399370.SZ,20030924,1017.6629
20030925,399370.SZ,20030925,1006.4944
20030926,399370.SZ,20030926,1002.7568
20030929,399370.SZ,20030929,992.3315
20030930,399370.SZ,20030930,1000.6205
20031008,399370.SZ,20031008,1002.6114
20031009,399370.SZ,20031009,1002.0373
20031010,399370.SZ,20031010,1023.306
20031013,399370.SZ,20031013,1019.5775
20031014,399370.SZ,20031014,1011.1208
20031015,399370.SZ,20031015,1007.6008
20031016,399370.SZ,20031016,996.6231
20031017,399370.SZ,20031017,998.7854
20031020,399370.SZ,20031020,991.6195
20031021,399370.SZ,20031021,992.1354
20031022,399370.SZ,20031022,1014.5029
20031023,399370.SZ,20031023,1007.1026
20031024,399370.SZ,20031024,1004.0577
20031027,399370.SZ,20031027,995.9669
20031028,399370.SZ,20031028,995.7367
20031029,399370.SZ,20031029,991.7172
20031030,399370.SZ,20031030,981.6474
20031031,399370.SZ,20031031,982.2433
20031103,399370.SZ,20031103,992.3035
20031104,399370.SZ,20031104,1009.2541
20031105,399370.SZ,20031105,1001.5037
20031106,399370.SZ,20031106,982.2026
20031107,399370.SZ,20031107,970.1141
20031110,399370.SZ,20031110,971.7311
20031111,399370.SZ,20031111,972.4678
20031112,399370.SZ,20031112,956.9141
20031113,399370.SZ,20031113,957.4275
20031114,399370.SZ,20031114,964.4535
20031117,399370.SZ,20031117,959.0749
20031118,399370.SZ,20031118,948.7507
20031119,399370.SZ,20031119,962.267
20031120,399370.SZ,20031120,988.7244
20031121,399370.SZ,20031121,975.905
20031124,399370.SZ,20031124,1001.2659
20031125,399370.SZ,20031125,1004.8835
20031126,399370.SZ,20031126,1006.201
20031127,399370.SZ,20031127,991.3655
20031128,399370.SZ,20031128,998.1446
20031201,399370.SZ,20031201,1017.5232
20031202,399370.SZ,20031202,1017.8719
20031203,399370.SZ,20031203,1021.3723
20031204,399370.SZ,20031204,1026.1463
20031205,399370.SZ,20031205,1026.6871
20031208,399370.SZ,20031208,1015.8736
20031209,399370.SZ,20031209,1017.0766
20031210,399370.SZ,20031210,1030.7716
20031211,399370.SZ,20031211,1034.3013
20031212,399370.SZ,20031212,1034.0364
20031215,399370.SZ,20031215,1033.8611
20031216,399370.SZ,20031216,1028.9694
20031217,399370.SZ,20031217,1022.3695
20031218,399370.SZ,20031218,1023.4396
20031219,399370.SZ,20031219,1013.9616
20031222,399370.SZ,20031222,1034.365
20031223,399370.SZ,20031223,1041.5472
20031224,399370.SZ,20031224,1050.7938
20031225,399370.SZ,20031225,1048.6673
20031226,399370.SZ,20031226,1048.2678
20031229,399370.SZ,20031229,1040.6437
20031230,399370.SZ,20031230,1046.1433
20031231,399370.SZ,20031231,1038.2912
20040102,399370.SZ,20040102,1040.3864
20040105,399370.SZ,20040105,1062.6613
20040106,399370.SZ,20040106,1069.7011
20040107,399370.SZ,20040107,1080.0944
20040108,399370.SZ,20040108,1098.6605
20040109,399370.SZ,20040109,1085.8919
20040112,399370.SZ,20040112,1108.1957
20040113,399370.SZ,20040113,1112.6435
20040114,399370.SZ,20040114,1103.3735
20040115,399370.SZ,20040115,1100.5123
20040116,399370.SZ,20040116,1110.1014
20040129,399370.SZ,20040129,1136.0726
20040130,399370.SZ,20040130,1110.98
20040202,399370.SZ,20040202,1133.2594
20040203,399370.SZ,20040203,1144.3245
20040204,399370.SZ,20040204,1168.6318
20040205,399370.SZ,20040205,1172.1724
20040206,399370.SZ,20040206,1164.3723
20040209,399370.SZ,20040209,1182.9022
20040210,399370.SZ,20040210,1178.548
20040211,399370.SZ,20040211,1172.8292
20040212,399370.SZ,20040212,1168.5703
