trade_dt,s_info_windcode,trade_dt,s_dq_close
20041231,CI005921.WI,20041231,1000.0
20050104,CI005921.WI,20050104,984.6451
20050105,CI005921.WI,20050105,995.8481
20050106,CI005921.WI,20050106,987.6489
20050107,CI005921.WI,20050107,989.0633
20050110,CI005921.WI,20050110,996.7994
20050111,CI005921.WI,20050111,1002.1455
20050112,CI005921.WI,20050112,999.6688
20050113,CI005921.WI,20050113,996.4115
20050114,CI005921.WI,20050114,991.1589
20050117,CI005921.WI,20050117,964.478
20050118,CI005921.WI,20050118,968.8835
20050119,CI005921.WI,20050119,965.0011
20050120,CI005921.WI,20050120,952.81
20050121,CI005921.WI,20050121,978.1795
20050124,CI005921.WI,20050124,989.4323
20050125,CI005921.WI,20050125,985.0902
20050126,CI005921.WI,20050126,978.0339
20050127,CI005921.WI,20050127,966.0818
20050128,CI005921.WI,20050128,959.6413
20050131,CI005921.WI,20050131,948.9508
20050201,CI005921.WI,20050201,952.5624
20050202,CI005921.WI,20050202,995.9489
20050203,CI005921.WI,20050203,978.5466
20050204,CI005921.WI,20050204,995.8719
20050216,CI005921.WI,20050216,1001.8426
20050217,CI005921.WI,20050217,998.2524
20050218,CI005921.WI,20050218,988.781
20050221,CI005921.WI,20050221,1006.7491
20050222,CI005921.WI,20050222,1024.7945
20050223,CI005921.WI,20050223,1021.1168
20050224,CI005921.WI,20050224,1019.1251
20050225,CI005921.WI,20050225,1020.1668
20050228,CI005921.WI,20050228,1014.8841
20050301,CI005921.WI,20050301,1010.4471
20050302,CI005921.WI,20050302,1007.3695
20050303,CI005921.WI,20050303,1014.6004
20050304,CI005921.WI,20050304,1017.2713
20050307,CI005921.WI,20050307,1021.597
20050308,CI005921.WI,20050308,1037.5287
20050309,CI005921.WI,20050309,1031.7378
20050310,CI005921.WI,20050310,1010.2898
20050311,CI005921.WI,20050311,1018.2534
20050314,CI005921.WI,20050314,1021.9225
20050315,CI005921.WI,20050315,1002.8705
20050316,CI005921.WI,20050316,992.7958
20050317,CI005921.WI,20050317,987.857
20050318,CI005921.WI,20050318,974.7551
20050321,CI005921.WI,20050321,978.9613
20050322,CI005921.WI,20050322,964.8901
20050323,CI005921.WI,20050323,957.999
20050324,CI005921.WI,20050324,964.5656
20050325,CI005921.WI,20050325,964.4505
20050328,CI005921.WI,20050328,963.0177
20050329,CI005921.WI,20050329,957.0781
20050330,CI005921.WI,20050330,935.8596
20050331,CI005921.WI,20050331,939.7205
20050401,CI005921.WI,20050401,970.7014
20050404,CI005921.WI,20050404,959.0355
20050405,CI005921.WI,20050405,954.2947
20050406,CI005921.WI,20050406,981.3692
20050407,CI005921.WI,20050407,982.9982
20050408,CI005921.WI,20050408,994.3783
20050411,CI005921.WI,20050411,984.9874
20050412,CI005921.WI,20050412,969.2759
20050413,CI005921.WI,20050413,986.6737
20050414,CI005921.WI,20050414,975.1293
20050415,CI005921.WI,20050415,964.7966
20050418,CI005921.WI,20050418,952.9333
20050419,CI005921.WI,20050419,957.0394
20050420,CI005921.WI,20050420,941.3743
20050421,CI005921.WI,20050421,940.8688
20050422,CI005921.WI,20050422,940.8036
