trade_dt,s_info_windcode,trade_dt,s_dq_close
20021231,399371.SZ,20021231,1000.0
20030102,399371.SZ,20030102,972.3216
20030103,399371.SZ,20030103,972.4529
20030106,399371.SZ,20030106,984.3001
20030107,399371.SZ,20030107,982.1509
20030108,399371.SZ,20030108,1011.8205
20030109,399371.SZ,20030109,1030.0696
20030110,399371.SZ,20030110,1021.6079
20030113,399371.SZ,20030113,1023.7818
20030114,399371.SZ,20030114,1083.1994
20030115,399371.SZ,20030115,1075.5577
20030116,399371.SZ,20030116,1093.5194
20030117,399371.SZ,20030117,1086.2973
20030120,399371.SZ,20030120,1090.6422
20030121,399371.SZ,20030121,1068.5257
20030122,399371.SZ,20030122,1072.016
20030123,399371.SZ,20030123,1065.8722
20030124,399371.SZ,20030124,1085.9004
20030127,399371.SZ,20030127,1101.62
20030128,399371.SZ,20030128,1104.3508
20030129,399371.SZ,20030129,1104.4739
20030210,399371.SZ,20030210,1088.2774
20030211,399371.SZ,20030211,1099.8764
20030212,399371.SZ,20030212,1113.2681
20030213,399371.SZ,20030213,1107.9481
20030214,399371.SZ,20030214,1113.9592
20030217,399371.SZ,20030217,1103.7067
20030218,399371.SZ,20030218,1105.4506
20030219,399371.SZ,20030219,1115.6559
20030220,399371.SZ,20030220,1114.1429
20030221,399371.SZ,20030221,1090.6662
20030224,399371.SZ,20030224,1091.8874
20030225,399371.SZ,20030225,1113.4846
20030226,399371.SZ,20030226,1114.7493
20030227,399371.SZ,20030227,1115.2176
20030228,399371.SZ,20030228,1114.4162
20030303,399371.SZ,20030303,1124.6059
20030304,399371.SZ,20030304,1124.1361
20030305,399371.SZ,20030305,1118.9692
20030306,399371.SZ,20030306,1103.004
20030307,399371.SZ,20030307,1099.1135
20030310,399371.SZ,20030310,1078.6046
20030311,399371.SZ,20030311,1078.7251
20030312,399371.SZ,20030312,1083.7001
20030313,399371.SZ,20030313,1076.8843
20030314,399371.SZ,20030314,1079.4176
20030317,399371.SZ,20030317,1082.4859
20030318,399371.SZ,20030318,1075.6902
20030319,399371.SZ,20030319,1082.0905
20030320,399371.SZ,20030320,1077.944
20030321,399371.SZ,20030321,1088.0483
20030324,399371.SZ,20030324,1088.7851
20030325,399371.SZ,20030325,1077.744
20030326,399371.SZ,20030326,1074.1405
20030327,399371.SZ,20030327,1104.264
20030328,399371.SZ,20030328,1102.0422
20030331,399371.SZ,20030331,1116.7977
20030401,399371.SZ,20030401,1124.1617
20030402,399371.SZ,20030402,1124.6844
20030403,399371.SZ,20030403,1117.7593
20030404,399371.SZ,20030404,1125.9525
20030407,399371.SZ,20030407,1121.3895
20030408,399371.SZ,20030408,1123.4156
20030409,399371.SZ,20030409,1147.642
20030410,399371.SZ,20030410,1155.365
20030411,399371.SZ,20030411,1180.5882
20030414,399371.SZ,20030414,1212.5843
20030415,399371.SZ,20030415,1224.1424
20030416,399371.SZ,20030416,1209.1046
20030417,399371.SZ,20030417,1210.6501
20030418,399371.SZ,20030418,1198.814
20030421,399371.SZ,20030421,1175.5235
20030422,399371.SZ,20030422,1177.0297
20030423,399371.SZ,20030423,1154.4663
20030424,399371.SZ,20030424,1123.2941
20030425,399371.SZ,20030425,1110.0292
20030428,399371.SZ,20030428,1154.5064
20030429,399371.SZ,20030429,1132.6762
20030430,399371.SZ,20030430,1142.2441
20030512,399371.SZ,20030512,1154.1415
20030513,399371.SZ,20030513,1115.977
20030514,399371.SZ,20030514,1143.8682
20030515,399371.SZ,20030515,1169.9844
20030516,399371.SZ,20030516,1173.2488
20030519,399371.SZ,20030519,1175.4949
20030520,399371.SZ,20030520,1161.4675
20030521,399371.SZ,20030521,1159.3977
20030522,399371.SZ,20030522,1171.8155
20030523,399371.SZ,20030523,1184.9236
20030526,399371.SZ,20030526,1194.0887
20030527,399371.SZ,20030527,1192.9465
20030528,399371.SZ,20030528,1176.514
20030529,399371.SZ,20030529,1188.2992
20030530,399371.SZ,20030530,1191.4697
20030602,399371.SZ,20030602,1191.243
20030603,399371.SZ,20030603,1179.0075
20030604,399371.SZ,20030604,1190.909
20030605,399371.SZ,20030605,1175.7082
20030606,399371.SZ,20030606,1159.5743
20030609,399371.SZ,20030609,1150.5815
20030610,399371.SZ,20030610,1157.7025
20030611,399371.SZ,20030611,1178.8554
20030612,399371.SZ,20030612,1174.0528
20030613,399371.SZ,20030613,1179.7055
20030616,399371.SZ,20030616,1174.5553
20030617,399371.SZ,20030617,1168.9215
20030618,399371.SZ,20030618,1166.9874
20030619,399371.SZ,20030619,1154.3009
20030620,399371.SZ,20030620,1146.9572
20030623,399371.SZ,20030623,1134.2898
20030624,399371.SZ,20030624,1135.8422
20030625,399371.SZ,20030625,1126.6567
20030626,399371.SZ,20030626,1134.1834
20030627,399371.SZ,20030627,1117.5727
20030630,399371.SZ,20030630,1110.8017
20030701,399371.SZ,20030701,1110.4507
20030702,399371.SZ,20030702,1123.9315
20030703,399371.SZ,20030703,1127.042
20030704,399371.SZ,20030704,1127.0098
20030707,399371.SZ,20030707,1128.8553
