trade_dt,s_info_windcode,trade_dt,s_dq_close
20021231,399316.SZ,20021231,1000.0
20030102,399316.SZ,20030102,977.0603
20030103,399316.SZ,20030103,979.1836
20030106,399316.SZ,20030106,996.2834
20030107,399316.SZ,20030107,994.8249
20030108,399316.SZ,20030108,1022.3155
20030109,399316.SZ,20030109,1042.0895
20030110,399316.SZ,20030110,1031.3005
20030113,399316.SZ,20030113,1035.4665
20030114,399316.SZ,20030114,1082.9879
20030115,399316.SZ,20030115,1076.6034
20030116,399316.SZ,20030116,1098.8733
20030117,399316.SZ,20030117,1092.0924
20030120,399316.SZ,20030120,1096.7217
20030121,399316.SZ,20030121,1074.8439
20030122,399316.SZ,20030122,1081.1818
20030123,399316.SZ,20030123,1069.2818
20030124,399316.SZ,20030124,1085.1367
20030127,399316.SZ,20030127,1098.8441
20030128,399316.SZ,20030128,1101.9404
20030129,399316.SZ,20030129,1099.2719
20030210,399316.SZ,20030210,1085.12
20030211,399316.SZ,20030211,1100.02
20030212,399316.SZ,20030212,1115.9838
20030213,399316.SZ,20030213,1113.4893
20030214,399316.SZ,20030214,1119.4849
20030217,399316.SZ,20030217,1112.0501
20030218,399316.SZ,20030218,1112.8281
20030219,399316.SZ,20030219,1122.2498
20030220,399316.SZ,20030220,1119.9115
20030221,399316.SZ,20030221,1095.2253
20030224,399316.SZ,20030224,1097.7856
20030225,399316.SZ,20030225,1122.4779
20030226,399316.SZ,20030226,1124.3629
20030227,399316.SZ,20030227,1122.8946
20030228,399316.SZ,20030228,1122.1417
20030303,399316.SZ,20030303,1131.589
20030304,399316.SZ,20030304,1131.6929
20030305,399316.SZ,20030305,1124.7975
20030306,399316.SZ,20030306,1107.0291
20030307,399316.SZ,20030307,1103.1517
20030310,399316.SZ,20030310,1080.8621
20030311,399316.SZ,20030311,1082.2089
20030312,399316.SZ,20030312,1087.0258
20030313,399316.SZ,20030313,1079.0574
20030314,399316.SZ,20030314,1080.5782
20030317,399316.SZ,20030317,1078.0845
20030318,399316.SZ,20030318,1069.2081
20030319,399316.SZ,20030319,1070.9379
20030320,399316.SZ,20030320,1066.3352
20030321,399316.SZ,20030321,1078.4128
20030324,399316.SZ,20030324,1080.0643
20030325,399316.SZ,20030325,1066.8259
20030326,399316.SZ,20030326,1058.9411
20030327,399316.SZ,20030327,1086.6815
20030328,399316.SZ,20030328,1080.0984
20030331,399316.SZ,20030331,1088.177
20030401,399316.SZ,20030401,1095.591
20030402,399316.SZ,20030402,1093.4714
20030403,399316.SZ,20030403,1088.581
20030404,399316.SZ,20030404,1091.0997
20030407,399316.SZ,20030407,1077.3138
20030408,399316.SZ,20030408,1070.1065
20030409,399316.SZ,20030409,1074.9157
20030410,399316.SZ,20030410,1080.461
20030411,399316.SZ,20030411,1092.1028
20030414,399316.SZ,20030414,1120.3762
20030415,399316.SZ,20030415,1136.6743
20030416,399316.SZ,20030416,1113.3123
20030417,399316.SZ,20030417,1118.9931
20030418,399316.SZ,20030418,1122.2522
20030421,399316.SZ,20030421,1109.3428
20030422,399316.SZ,20030422,1107.7638
20030423,399316.SZ,20030423,1093.9215
20030424,399316.SZ,20030424,1065.9012
20030425,399316.SZ,20030425,1049.8784
