trade_dt,s_info_windcode,trade_dt,s_dq_close
20021231,399314.SZ,20021231,1000.0
20030102,399314.SZ,20030102,972.9776
20030103,399314.SZ,20030103,971.1902
20030106,399314.SZ,20030106,981.92
20030107,399314.SZ,20030107,978.6944
20030108,399314.SZ,20030108,1007.921
20030109,399314.SZ,20030109,1026.7464
20030110,399314.SZ,20030110,1016.3485
20030113,399314.SZ,20030113,1018.8977
20030114,399314.SZ,20030114,1080.9167
20030115,399314.SZ,20030115,1076.0754
20030116,399314.SZ,20030116,1093.936
20030117,399314.SZ,20030117,1088.2897
20030120,399314.SZ,20030120,1092.4856
20030121,399314.SZ,20030121,1070.6101
20030122,399314.SZ,20030122,1071.6374
20030123,399314.SZ,20030123,1065.1602
20030124,399314.SZ,20030124,1085.6269
20030127,399314.SZ,20030127,1100.6914
20030128,399314.SZ,20030128,1103.8447
20030129,399314.SZ,20030129,1104.909
20030210,399314.SZ,20030210,1087.476
20030211,399314.SZ,20030211,1096.8369
20030212,399314.SZ,20030212,1108.8306
20030213,399314.SZ,20030213,1103.1848
20030214,399314.SZ,20030214,1107.8825
20030217,399314.SZ,20030217,1098.5483
20030218,399314.SZ,20030218,1098.0622
20030219,399314.SZ,20030219,1109.2805
20030220,399314.SZ,20030220,1108.8378
20030221,399314.SZ,20030221,1086.8552
20030224,399314.SZ,20030224,1088.1364
20030225,399314.SZ,20030225,1107.5261
20030226,399314.SZ,20030226,1107.0055
20030227,399314.SZ,20030227,1108.668
20030228,399314.SZ,20030228,1107.235
20030303,399314.SZ,20030303,1115.9447
20030304,399314.SZ,20030304,1115.3722
20030305,399314.SZ,20030305,1110.7581
20030306,399314.SZ,20030306,1096.2533
20030307,399314.SZ,20030307,1092.3004
20030310,399314.SZ,20030310,1072.6942
20030311,399314.SZ,20030311,1071.6657
20030312,399314.SZ,20030312,1075.9573
20030313,399314.SZ,20030313,1068.0722
20030314,399314.SZ,20030314,1070.6207
20030317,399314.SZ,20030317,1072.596
20030318,399314.SZ,20030318,1067.097
20030319,399314.SZ,20030319,1073.3549
20030320,399314.SZ,20030320,1069.1712
20030321,399314.SZ,20030321,1078.1453
20030324,399314.SZ,20030324,1080.8757
20030325,399314.SZ,20030325,1070.6775
20030326,399314.SZ,20030326,1066.6043
20030327,399314.SZ,20030327,1095.6397
20030328,399314.SZ,20030328,1094.4344
20030331,399314.SZ,20030331,1111.0546
20030401,399314.SZ,20030401,1119.316
20030402,399314.SZ,20030402,1118.8327
20030403,399314.SZ,20030403,1111.545
20030404,399314.SZ,20030404,1119.5401
20030407,399314.SZ,20030407,1115.7186
20030408,399314.SZ,20030408,1119.7455
20030409,399314.SZ,20030409,1141.481
20030410,399314.SZ,20030410,1153.0227
20030411,399314.SZ,20030411,1172.822
20030414,399314.SZ,20030414,1202.608
20030415,399314.SZ,20030415,1214.0689
20030416,399314.SZ,20030416,1204.9565
20030417,399314.SZ,20030417,1209.7774
20030418,399314.SZ,20030418,1200.6238
20030421,399314.SZ,20030421,1171.3269
20030422,399314.SZ,20030422,1171.8594
20030423,399314.SZ,20030423,1151.3851
20030424,399314.SZ,20030424,1116.4781
20030425,399314.SZ,20030425,1105.2461
20030428,399314.SZ,20030428,1151.7174
20030429,399314.SZ,20030429,1132.3025
20030430,399314.SZ,20030430,1141.7179
20030512,399314.SZ,20030512,1154.2671
20030513,399314.SZ,20030513,1120.6422
20030514,399314.SZ,20030514,1147.7288
20030515,399314.SZ,20030515,1178.7964
20030516,399314.SZ,20030516,1179.1218
20030519,399314.SZ,20030519,1180.6662
20030520,399314.SZ,20030520,1166.3555
20030521,399314.SZ,20030521,1164.2192
20030522,399314.SZ,20030522,1173.5131
20030523,399314.SZ,20030523,1186.7384
20030526,399314.SZ,20030526,1193.9306
20030527,399314.SZ,20030527,1193.8598
20030528,399314.SZ,20030528,1178.74
20030529,399314.SZ,20030529,1194.9608
20030530,399314.SZ,20030530,1200.2799
20030602,399314.SZ,20030602,1198.5466
20030603,399314.SZ,20030603,1185.7035
20030604,399314.SZ,20030604,1197.1164
20030605,399314.SZ,20030605,1181.9501
20030606,399314.SZ,20030606,1166.3935
20030609,399314.SZ,20030609,1154.7646
20030610,399314.SZ,20030610,1160.2427
20030611,399314.SZ,20030611,1180.8479
20030612,399314.SZ,20030612,1176.3777
20030613,399314.SZ,20030613,1179.6912
20030616,399314.SZ,20030616,1175.9988
20030617,399314.SZ,20030617,1172.2056
20030618,399314.SZ,20030618,1170.9862
20030619,399314.SZ,20030619,1158.8395
20030620,399314.SZ,20030620,1150.0137
20030623,399314.SZ,20030623,1139.155
20030624,399314.SZ,20030624,1140.8456
20030625,399314.SZ,20030625,1132.8163
20030626,399314.SZ,20030626,1144.7736
20030627,399314.SZ,20030627,1128.8525
20030630,399314.SZ,20030630,1124.6059
20030701,399314.SZ,20030701,1125.88
20030702,399314.SZ,20030702,1137.9596
20030703,399314.SZ,20030703,1140.4411
20030704,399314.SZ,20030704,1139.1895
20030707,399314.SZ,20030707,1141.4798
20030708,399314.SZ,20030708,1148.1429
20030709,399314.SZ,20030709,1140.8499
20030710,399314.SZ,20030710,1165.1019
20030711,399314.SZ,20030711,1163.6275
20030714,399314.SZ,20030714,1159.5502
20030715,399314.SZ,20030715,1162.0189
20030716,399314.SZ,20030716,1167.3142
20030717,399314.SZ,20030717,1166.7902
20030718,399314.SZ,20030718,1142.1589
20030721,399314.SZ,20030721,1134.8297
20030722,399314.SZ,20030722,1136.4274
20030723,399314.SZ,20030723,1139.957
20030724,399314.SZ,20030724,1132.3081
20030725,399314.SZ,20030725,1122.1644
20030728,399314.SZ,20030728,1117.8242
20030729,399314.SZ,20030729,1124.4386
20030730,399314.SZ,20030730,1126.6394
20030731,399314.SZ,20030731,1128.2211
20030801,399314.SZ,20030801,1132.0671
20030804,399314.SZ,20030804,1143.1368
20030805,399314.SZ,20030805,1142.4706
20030806,399314.SZ,20030806,1136.3557
20030807,399314.SZ,20030807,1136.3923
20030808,399314.SZ,20030808,1123.7022
20030811,399314.SZ,20030811,1126.9319
20030812,399314.SZ,20030812,1129.9997
20030813,399314.SZ,20030813,1116.4411
20030814,399314.SZ,20030814,1110.01
20030815,399314.SZ,20030815,1108.8514
20030818,399314.SZ,20030818,1106.0328
20030819,399314.SZ,20030819,1109.8109
20030820,399314.SZ,20030820,1104.2417
20030821,399314.SZ,20030821,1104.0672
20030822,399314.SZ,20030822,1100.6994
20030825,399314.SZ,20030825,1087.925
20030826,399314.SZ,20030826,1089.8579
20030827,399314.SZ,20030827,1089.2262
20030828,399314.SZ,20030828,1081.0815
20030829,399314.SZ,20030829,1089.9984
20030901,399314.SZ,20030901,1108.3741
20030902,399314.SZ,20030902,1106.2363
20030903,399314.SZ,20030903,1106.5297
20030904,399314.SZ,20030904,1104.9868
20030905,399314.SZ,20030905,1093.8263
20030908,399314.SZ,20030908,1088.5195
20030909,399314.SZ,20030909,1082.7743
20030910,399314.SZ,20030910,1086.8299
20030911,399314.SZ,20030911,1087.4176
20030912,399314.SZ,20030912,1076.753
20030915,399314.SZ,20030915,1066.3626
20030916,399314.SZ,20030916,1072.1594
20030917,399314.SZ,20030917,1061.5255
20030918,399314.SZ,20030918,1061.8328
20030919,399314.SZ,20030919,1063.0617
20030922,399314.SZ,20030922,1055.7343
20030923,399314.SZ,20030923,1061.0062
20030924,399314.SZ,20030924,1064.1081
20030925,399314.SZ,20030925,1052.1534
20030926,399314.SZ,20030926,1047.3834
20030929,399314.SZ,20030929,1034.2082
20030930,399314.SZ,20030930,1043.7773
20031008,399314.SZ,20031008,1046.6717
20031009,399314.SZ,20031009,1045.0358
20031010,399314.SZ,20031010,1068.5378
20031013,399314.SZ,20031013,1065.0976
20031014,399314.SZ,20031014,1055.841
20031015,399314.SZ,20031015,1052.8212
20031016,399314.SZ,20031016,1038.8884
20031017,399314.SZ,20031017,1042.5567
20031020,399314.SZ,20031020,1035.8055
20031021,399314.SZ,20031021,1039.0599
20031022,399314.SZ,20031022,1064.4777
20031023,399314.SZ,20031023,1056.2385
20031024,399314.SZ,20031024,1053.1813
20031027,399314.SZ,20031027,1044.4413
20031028,399314.SZ,20031028,1044.1144
20031029,399314.SZ,20031029,1039.0747
20031030,399314.SZ,20031030,1028.4272
20031031,399314.SZ,20031031,1028.88
20031103,399314.SZ,20031103,1039.0912
20031104,399314.SZ,20031104,1058.4199
20031105,399314.SZ,20031105,1052.9962
20031106,399314.SZ,20031106,1034.9556
20031107,399314.SZ,20031107,1021.6847
20031110,399314.SZ,20031110,1025.4237
20031111,399314.SZ,20031111,1025.6491
20031112,399314.SZ,20031112,1009.0366
20031113,399314.SZ,20031113,1011.9423
20031114,399314.SZ,20031114,1018.9236
20031117,399314.SZ,20031117,1014.8119
20031118,399314.SZ,20031118,1001.694
20031119,399314.SZ,20031119,1016.6814
20031120,399314.SZ,20031120,1044.184
20031121,399314.SZ,20031121,1032.1743
20031124,399314.SZ,20031124,1060.3171
20031125,399314.SZ,20031125,1062.771
20031126,399314.SZ,20031126,1065.1111
20031127,399314.SZ,20031127,1048.1753
20031128,399314.SZ,20031128,1054.8425
20031201,399314.SZ,20031201,1077.0946
20031202,399314.SZ,20031202,1077.1548
20031203,399314.SZ,20031203,1081.5574
20031204,399314.SZ,20031204,1086.3683
20031205,399314.SZ,20031205,1084.1972
20031208,399314.SZ,20031208,1073.6358
20031209,399314.SZ,20031209,1077.2239
20031210,399314.SZ,20031210,1091.9118
20031211,399314.SZ,20031211,1091.7648
20031212,399314.SZ,20031212,1090.0435
20031215,399314.SZ,20031215,1091.7052
20031216,399314.SZ,20031216,1087.5775
20031217,399314.SZ,20031217,1079.1859
20031218,399314.SZ,20031218,1083.1436
20031219,399314.SZ,20031219,1076.4763
20031222,399314.SZ,20031222,1106.1144
20031223,399314.SZ,20031223,1111.0393
20031224,399314.SZ,20031224,1121.2285
20031225,399314.SZ,20031225,1119.0597
20031226,399314.SZ,20031226,1118.3886
20031229,399314.SZ,20031229,1109.824
20031230,399314.SZ,20031230,1117.5652
20031231,399314.SZ,20031231,1106.9247
20040102,399314.SZ,20040102,1114.447
20040105,399314.SZ,20040105,1148.2067
20040106,399314.SZ,20040106,1157.4753
20040107,399314.SZ,20040107,1169.5887
20040108,399314.SZ,20040108,1185.4852
20040109,399314.SZ,20040109,1169.0438
20040112,399314.SZ,20040112,1195.5333
20040113,399314.SZ,20040113,1193.5655
20040114,399314.SZ,20040114,1179.6449
20040115,399314.SZ,20040115,1176.0927
20040116,399314.SZ,20040116,1185.801
20040129,399314.SZ,20040129,1210.6065
20040130,399314.SZ,20040130,1181.9527
20040202,399314.SZ,20040202,1206.157
20040203,399314.SZ,20040203,1217.8871
20040204,399314.SZ,20040204,1243.4401
20040205,399314.SZ,20040205,1247.7315
20040206,399314.SZ,20040206,1242.9767
20040209,399314.SZ,20040209,1261.5834
20040210,399314.SZ,20040210,1255.3486
20040211,399314.SZ,20040211,1247.7284
20040212,399314.SZ,20040212,1238.4617
20040213,399314.SZ,20040213,1235.6819
20040216,399314.SZ,20040216,1264.009
20040217,399314.SZ,20040217,1269.6021
20040218,399314.SZ,20040218,1278.2449
20040219,399314.SZ,20040219,1273.4735
20040220,399314.SZ,20040220,1278.4043
20040223,399314.SZ,20040223,1249.5922
20040224,399314.SZ,20040224,1246.755
20040225,399314.SZ,20040225,1223.5271
20040226,399314.SZ,20040226,1230.127
20040227,399314.SZ,20040227,1242.7876
20040301,399314.SZ,20040301,1254.407
20040302,399314.SZ,20040302,1252.0257
20040303,399314.SZ,20040303,1232.5454
20040304,399314.SZ,20040304,1240.4487
20040305,399314.SZ,20040305,1233.5242
20040308,399314.SZ,20040308,1211.8137
20040309,399314.SZ,20040309,1210.7751
20040310,399314.SZ,20040310,1238.3914
20040311,399314.SZ,20040311,1249.0451
20040312,399314.SZ,20040312,1250.0117
20040315,399314.SZ,20040315,1279.3497
20040316,399314.SZ,20040316,1284.2522
20040317,399314.SZ,20040317,1286.8175
20040318,399314.SZ,20040318,1263.2693
20040319,399314.SZ,20040319,1282.6177
20040322,399314.SZ,20040322,1287.9986
20040323,399314.SZ,20040323,1277.8762
20040324,399314.SZ,20040324,1273.5782
20040325,399314.SZ,20040325,1273.3593
20040326,399314.SZ,20040326,1273.4299
20040329,399314.SZ,20040329,1259.405
20040330,399314.SZ,20040330,1259.4292
20040331,399314.SZ,20040331,1270.5148
20040401,399314.SZ,20040401,1281.5386
20040402,399314.SZ,20040402,1289.8168
20040405,399314.SZ,20040405,1285.2488
20040406,399314.SZ,20040406,1291.4237
20040407,399314.SZ,20040407,1289.8335
20040408,399314.SZ,20040408,1284.2952
20040409,399314.SZ,20040409,1255.6803
20040412,399314.SZ,20040412,1250.1917
20040413,399314.SZ,20040413,1240.5205
20040414,399314.SZ,20040414,1221.377
20040415,399314.SZ,20040415,1210.3605
20040416,399314.SZ,20040416,1222.5864
20040419,399314.SZ,20040419,1203.7989
20040420,399314.SZ,20040420,1193.7501
20040421,399314.SZ,20040421,1184.0264
20040422,399314.SZ,20040422,1189.0302
20040423,399314.SZ,20040423,1170.7133
20040426,399314.SZ,20040426,1171.0755
20040427,399314.SZ,20040427,1160.5876
20040428,399314.SZ,20040428,1154.7611
20040429,399314.SZ,20040429,1133.0943
20040430,399314.SZ,20040430,1139.2039
20040510,399314.SZ,20040510,1109.6347
20040511,399314.SZ,20040511,1115.2285
20040512,399314.SZ,20040512,1139.9561
20040513,399314.SZ,20040513,1135.0504
20040514,399314.SZ,20040514,1110.378
20040517,399314.SZ,20040517,1098.534
20040518,399314.SZ,20040518,1109.4706
20040519,399314.SZ,20040519,1109.3035
20040520,399314.SZ,20040520,1102.2493
20040521,399314.SZ,20040521,1108.9171
20040524,399314.SZ,20040524,1102.3503
20040525,399314.SZ,20040525,1083.661
20040526,399314.SZ,20040526,1089.5104
20040527,399314.SZ,20040527,1112.9492
20040528,399314.SZ,20040528,1106.2152
20040531,399314.SZ,20040531,1111.3309
20040601,399314.SZ,20040601,1126.4827
20040602,399314.SZ,20040602,1115.3366
20040603,399314.SZ,20040603,1099.1544
20040604,399314.SZ,20040604,1098.3739
20040607,399314.SZ,20040607,1084.0817
20040608,399314.SZ,20040608,1069.6539
20040609,399314.SZ,20040609,1051.6735
20040610,399314.SZ,20040610,1053.808
20040611,399314.SZ,20040611,1054.7329
20040614,399314.SZ,20040614,1033.3262
20040615,399314.SZ,20040615,1051.4662
20040616,399314.SZ,20040616,1057.495
20040617,399314.SZ,20040617,1034.1977
20040618,399314.SZ,20040618,1021.3582
20040621,399314.SZ,20040621,1024.6321
20040622,399314.SZ,20040622,1035.1398
20040623,399314.SZ,20040623,1027.2733
20040624,399314.SZ,20040624,1017.892
20040625,399314.SZ,20040625,1003.0022
20040628,399314.SZ,20040628,992.2771
20040629,399314.SZ,20040629,1006.6594
20040630,399314.SZ,20040630,1001.7051
20040701,399314.SZ,20040701,1032.4644
20040702,399314.SZ,20040702,1034.5432
20040705,399314.SZ,20040705,1036.1741
20040706,399314.SZ,20040706,1039.6977
20040707,399314.SZ,20040707,1030.0205
20040708,399314.SZ,20040708,1031.9116
20040709,399314.SZ,20040709,1026.4944
20040712,399314.SZ,20040712,1005.4099
20040713,399314.SZ,20040713,1008.8861
20040714,399314.SZ,20040714,1011.6404
20040715,399314.SZ,20040715,1025.5561
20040716,399314.SZ,20040716,1051.6669
20040719,399314.SZ,20040719,1052.6455
20040720,399314.SZ,20040720,1044.7428
20040721,399314.SZ,20040721,1044.688
20040722,399314.SZ,20040722,1019.4043
20040723,399314.SZ,20040723,1021.7876
20040726,399314.SZ,20040726,1008.7483
20040727,399314.SZ,20040727,1004.5467
20040728,399314.SZ,20040728,1009.3603
20040729,399314.SZ,20040729,1022.4536
20040730,399314.SZ,20040730,1009.0426
20040802,399314.SZ,20040802,1001.68
20040803,399314.SZ,20040803,995.0128
20040804,399314.SZ,20040804,1022.2036
20040805,399314.SZ,20040805,1008.7401
20040806,399314.SZ,20040806,1008.5254
20040809,399314.SZ,20040809,1013.9949
20040810,399314.SZ,20040810,1018.4454
20040811,399314.SZ,20040811,1006.9268
20040812,399314.SZ,20040812,997.4188
20040813,399314.SZ,20040813,999.4047
20040816,399314.SZ,20040816,991.8378
20040817,399314.SZ,20040817,996.2526
20040818,399314.SZ,20040818,995.8183
20040819,399314.SZ,20040819,984.6141
20040820,399314.SZ,20040820,984.9973
20040823,399314.SZ,20040823,972.9835
20040824,399314.SZ,20040824,983.1746
20040825,399314.SZ,20040825,979.3899
20040826,399314.SZ,20040826,975.0864
20040827,399314.SZ,20040827,964.6184
20040830,399314.SZ,20040830,963.5492
20040831,399314.SZ,20040831,979.4485
20040901,399314.SZ,20040901,964.5104
20040902,399314.SZ,20040902,968.3939
20040903,399314.SZ,20040903,966.7464
20040906,399314.SZ,20040906,962.7667
20040907,399314.SZ,20040907,965.0149
20040908,399314.SZ,20040908,955.8463
20040909,399314.SZ,20040909,938.4963
20040910,399314.SZ,20040910,940.9272
20040913,399314.SZ,20040913,921.7057
20040914,399314.SZ,20040914,949.3349
20040915,399314.SZ,20040915,988.253
20040916,399314.SZ,20040916,998.6706
20040917,399314.SZ,20040917,1030.5302
20040920,399314.SZ,20040920,1067.1341
20040921,399314.SZ,20040921,1058.5492
20040922,399314.SZ,20040922,1037.3512
20040923,399314.SZ,20040923,1072.747
20040924,399314.SZ,20040924,1054.1144
20040927,399314.SZ,20040927,1046.9326
20040928,399314.SZ,20040928,1054.521
20040929,399314.SZ,20040929,1042.8252
20040930,399314.SZ,20040930,1030.222
20041008,399314.SZ,20041008,1049.6475
20041011,399314.SZ,20041011,1042.6573
20041012,399314.SZ,20041012,1021.1579
20041013,399314.SZ,20041013,1022.0277
20041014,399314.SZ,20041014,984.8412
20041015,399314.SZ,20041015,987.165
20041018,399314.SZ,20041018,988.9355
20041019,399314.SZ,20041019,992.1684
20041020,399314.SZ,20041020,988.8266
20041021,399314.SZ,20041021,976.4252
20041022,399314.SZ,20041022,988.9046
20041025,399314.SZ,20041025,975.228
20041026,399314.SZ,20041026,985.4133
20041027,399314.SZ,20041027,994.3767
20041028,399314.SZ,20041028,993.8143
20041029,399314.SZ,20041029,978.0137
20041101,399314.SZ,20041101,967.6873
20041102,399314.SZ,20041102,964.3297
20041103,399314.SZ,20041103,981.1805
20041104,399314.SZ,20041104,960.969
20041105,399314.SZ,20041105,961.4014
20041108,399314.SZ,20041108,962.169
20041109,399314.SZ,20041109,964.4734
20041110,399314.SZ,20041110,1000.2913
20041111,399314.SZ,20041111,994.8588
20041112,399314.SZ,20041112,996.7116
20041115,399314.SZ,20041115,1007.7796
20041116,399314.SZ,20041116,1007.6261
20041117,399314.SZ,20041117,998.4305
20041118,399314.SZ,20041118,1007.813
20041119,399314.SZ,20041119,1013.5844
20041122,399314.SZ,20041122,1015.5414
20041123,399314.SZ,20041123,1006.2926
20041124,399314.SZ,20041124,1000.1592
20041125,399314.SZ,20041125,999.2461
20041126,399314.SZ,20041126,997.569
20041129,399314.SZ,20041129,985.6211
20041130,399314.SZ,20041130,985.8882
20041201,399314.SZ,20041201,981.006
20041202,399314.SZ,20041202,977.6925
20041203,399314.SZ,20041203,979.7916
20041206,399314.SZ,20041206,981.1875
20041207,399314.SZ,20041207,970.5574
20041208,399314.SZ,20041208,970.8181
20041209,399314.SZ,20041209,980.8436
20041210,399314.SZ,20041210,967.9314
20041213,399314.SZ,20041213,962.4616
20041214,399314.SZ,20041214,959.2358
20041215,399314.SZ,20041215,962.9682
20041216,399314.SZ,20041216,959.5707
20041217,399314.SZ,20041217,949.9326
20041220,399314.SZ,20041220,936.4607
20041221,399314.SZ,20041221,934.1848
20041222,399314.SZ,20041222,957.6622
20041223,399314.SZ,20041223,940.9957
20041224,399314.SZ,20041224,942.04
20041227,399314.SZ,20041227,938.302
20041228,399314.SZ,20041228,936.8454
20041229,399314.SZ,20041229,932.3328
20041230,399314.SZ,20041230,931.4541
20041231,399314.SZ,20041231,928.7969
20050104,399314.SZ,20050104,913.2231
20050105,399314.SZ,20050105,921.7722
20050106,399314.SZ,20050106,912.6024
20050107,399314.SZ,20050107,913.7375
20050110,399314.SZ,20050110,922.516
20050111,399314.SZ,20050111,925.6033
20050112,399314.SZ,20050112,924.075
20050113,399314.SZ,20050113,923.6016
20050114,399314.SZ,20050114,915.9381
20050117,399314.SZ,20050117,897.3346
20050118,399314.SZ,20050118,903.5145
20050119,399314.SZ,20050119,897.3693
20050120,399314.SZ,20050120,888.0373
20050121,399314.SZ,20050121,913.219
20050124,399314.SZ,20050124,927.3533
20050125,399314.SZ,20050125,927.4288
20050126,399314.SZ,20050126,919.885
20050127,399314.SZ,20050127,905.7252
20050128,399314.SZ,20050128,901.6408
20050131,399314.SZ,20050131,889.212
20050201,399314.SZ,20050201,889.9727
20050202,399314.SZ,20050202,936.745
20050203,399314.SZ,20050203,923.924
20050204,399314.SZ,20050204,945.556
20050216,399314.SZ,20050216,951.31
20050217,399314.SZ,20050217,948.284
20050218,399314.SZ,20050218,934.847
20050221,399314.SZ,20050221,952.764
20050222,399314.SZ,20050222,971.449
20050223,399314.SZ,20050223,968.069
20050224,399314.SZ,20050224,969.01
20050225,399314.SZ,20050225,970.463
20050228,399314.SZ,20050228,964.974
20050301,399314.SZ,20050301,961.42
20050302,399314.SZ,20050302,947.908
20050303,399314.SZ,20050303,953.036
20050304,399314.SZ,20050304,950.117
20050307,399314.SZ,20050307,955.319
20050308,399314.SZ,20050308,972.31
20050309,399314.SZ,20050309,969.752
20050310,399314.SZ,20050310,947.934
20050311,399314.SZ,20050311,952.235
20050314,399314.SZ,20050314,954.946
20050315,399314.SZ,20050315,938.269
20050316,399314.SZ,20050316,928.628
20050317,399314.SZ,20050317,919.027
20050318,399314.SZ,20050318,908.003
20050321,399314.SZ,20050321,910.399
20050322,399314.SZ,20050322,893.275
20050323,399314.SZ,20050323,887.72
20050324,399314.SZ,20050324,892.307
20050325,399314.SZ,20050325,890.837
20050328,399314.SZ,20050328,889.498
20050329,399314.SZ,20050329,884.181
20050330,399314.SZ,20050330,868.305
20050331,399314.SZ,20050331,873.677
20050401,399314.SZ,20050401,905.4
20050404,399314.SZ,20050404,890.365
20050405,399314.SZ,20050405,884.214
20050406,399314.SZ,20050406,899.606
20050407,399314.SZ,20050407,910.843
20050408,399314.SZ,20050408,927.962
20050411,399314.SZ,20050411,919.895
20050412,399314.SZ,20050412,905.049
20050413,399314.SZ,20050413,925.466
20050414,399314.SZ,20050414,913.624
20050415,399314.SZ,20050415,902.194
20050418,399314.SZ,20050418,891.415
20050419,399314.SZ,20050419,893.712
20050420,399314.SZ,20050420,879.894
20050421,399314.SZ,20050421,873.412
20050422,399314.SZ,20050422,869.168
20050425,399314.SZ,20050425,862.81
20050426,399314.SZ,20050426,870.707
20050427,399314.SZ,20050427,861.963
20050428,399314.SZ,20050428,876.269
20050429,399314.SZ,20050429,869.273
20050509,399314.SZ,20050509,850.335
20050510,399314.SZ,20050510,854.23
20050511,399314.SZ,20050511,844.131
20050512,399314.SZ,20050512,829.23
20050513,399314.SZ,20050513,829.92
20050516,399314.SZ,20050516,819.202
20050517,399314.SZ,20050517,824.54
20050518,399314.SZ,20050518,826.044
20050519,399314.SZ,20050519,827.475
20050520,399314.SZ,20050520,826.292
20050523,399314.SZ,20050523,809.845
20050524,399314.SZ,20050524,813.766
20050525,399314.SZ,20050525,813.412
