trade_dt,s_info_windcode,trade_dt,s_dq_close
20030710,399315.SZ,20030710,1048.9944
20030711,399315.SZ,20030711,1046.9017
20030714,399315.SZ,20030714,1041.7896
20030715,399315.SZ,20030715,1044.2016
20030716,399315.SZ,20030716,1046.0261
20030717,399315.SZ,20030717,1048.1465
20030718,399315.SZ,20030718,1027.0339
20030721,399315.SZ,20030721,1014.9355
20030722,399315.SZ,20030722,1021.6501
20030723,399315.SZ,20030723,1027.0566
20030724,399315.SZ,20030724,1019.3964
20030725,399315.SZ,20030725,1008.3428
20030728,399315.SZ,20030728,1002.8805
20030729,399315.SZ,20030729,1007.1417
20030730,399315.SZ,20030730,1006.3099
20030731,399315.SZ,20030731,1006.1068
20030801,399315.SZ,20030801,1007.9485
20030804,399315.SZ,20030804,1020.8702
20030805,399315.SZ,20030805,1020.3696
20030806,399315.SZ,20030806,1018.6724
20030807,399315.SZ,20030807,1017.2832
20030808,399315.SZ,20030808,1005.2548
20030811,399315.SZ,20030811,1008.3775
20030812,399315.SZ,20030812,1012.2575
20030813,399315.SZ,20030813,1002.1061
20030814,399315.SZ,20030814,997.5147
20030815,399315.SZ,20030815,995.1039
20030818,399315.SZ,20030818,991.771
20030819,399315.SZ,20030819,994.4428
20030820,399315.SZ,20030820,991.3162
20030821,399315.SZ,20030821,989.0743
20030822,399315.SZ,20030822,988.9752
20030825,399315.SZ,20030825,975.6084
20030826,399315.SZ,20030826,977.3129
20030827,399315.SZ,20030827,976.6496
20030828,399315.SZ,20030828,969.5706
20030829,399315.SZ,20030829,972.4808
20030901,399315.SZ,20030901,992.0892
20030902,399315.SZ,20030902,990.9768
20030903,399315.SZ,20030903,995.6302
20030904,399315.SZ,20030904,993.9562
20030905,399315.SZ,20030905,983.1275
20030908,399315.SZ,20030908,978.2884
20030909,399315.SZ,20030909,974.8511
20030910,399315.SZ,20030910,975.1262
20030911,399315.SZ,20030911,974.5049
20030912,399315.SZ,20030912,961.8165
20030915,399315.SZ,20030915,950.9495
20030916,399315.SZ,20030916,959.2483
20030917,399315.SZ,20030917,948.0079
20030918,399315.SZ,20030918,948.5937
20030919,399315.SZ,20030919,949.9486
20030922,399315.SZ,20030922,946.4987
20030923,399315.SZ,20030923,951.5444
20030924,399315.SZ,20030924,954.1696
20030925,399315.SZ,20030925,940.6886
20030926,399315.SZ,20030926,935.4187
20030929,399315.SZ,20030929,922.9154
20030930,399315.SZ,20030930,930.4044
20031008,399315.SZ,20031008,934.3691
20031009,399315.SZ,20031009,931.922
20031010,399315.SZ,20031010,954.5919
20031013,399315.SZ,20031013,951.2639
20031014,399315.SZ,20031014,944.3602
20031015,399315.SZ,20031015,940.9386
20031016,399315.SZ,20031016,929.8197
20031017,399315.SZ,20031017,931.5119
20031020,399315.SZ,20031020,923.4691
20031021,399315.SZ,20031021,925.1321
20031022,399315.SZ,20031022,945.2821
20031023,399315.SZ,20031023,937.6863
20031024,399315.SZ,20031024,932.0814
20031027,399315.SZ,20031027,921.3728
20031028,399315.SZ,20031028,915.7496
20031029,399315.SZ,20031029,900.6777
20031030,399315.SZ,20031030,889.4942
20031031,399315.SZ,20031031,894.331
20031103,399315.SZ,20031103,902.6603
20031104,399315.SZ,20031104,917.2415
20031105,399315.SZ,20031105,906.8295
20031106,399315.SZ,20031106,884.6726
20031107,399315.SZ,20031107,874.3426
20031110,399315.SZ,20031110,874.772
20031111,399315.SZ,20031111,879.2826
20031112,399315.SZ,20031112,864.0002
20031113,399315.SZ,20031113,865.9048
20031114,399315.SZ,20031114,873.4883
20031117,399315.SZ,20031117,871.0152
20031118,399315.SZ,20031118,859.8439
20031119,399315.SZ,20031119,875.8517
20031120,399315.SZ,20031120,907.4741
20031121,399315.SZ,20031121,894.2397
20031124,399315.SZ,20031124,920.7179
20031125,399315.SZ,20031125,928.8588
20031126,399315.SZ,20031126,933.3038
